0;9808;PIB - valores correntes;Milhões de Reais;[];6784
1;9809;PIB - preços do ano anterior;Milhões de Reais;[];6784
2;9810;PIB - variação em volume;%;[];6784
3;9811;PIB - deflator - variação anual;%;[];6784
4;93;População residente;Mil pessoas;[];6784
5;9812;PIB per capita - valores correntes;Reais;[];6784
6;9813;PIB per capita - preços do ano anterior;Reais;[];6784
7;9814;PIB per capita - variação em volume;%;[];6784
0;90687;Agropecuária - total;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
1;90691;Indústria - total;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
2;90692;Indústrias extrativas;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
3;90693;Indústrias de transformação;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
4;90695;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
5;90694;Construção;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
6;90696;Serviços - total;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
7;90697;Comércio;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
8;90698;Transporte, armazenagem e correio;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
9;90699;Informação e comunicação;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
10;90700;Atividades financeiras, de seguros e serviços relacionados;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
11;90702;Atividades imobiliárias;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
12;90701;Outras atividades de serviços;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
13;90703;Administração, saúde e educação públicas e seguridade social;;0;1621;11255;Setores e subsetores;584;Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100);Número-índice;[]
