8418;Áreas urbanizadas, Loteamento vazio, Área total mapeada e Subcategorias;https://sidra.ibge.gov.br/tabela/8418;Áreas Urbanizadas;Geral;anual;2019;2019
1685;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal;https://sidra.ibge.gov.br/tabela/1685;Cadastro Central de Empresas;Unidades locais;anual;2006;2021
1734;Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção e divisão da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos das Capitais;https://sidra.ibge.gov.br/tabela/1734;Cadastro Central de Empresas;Unidades locais;anual;1996;2006
1735;Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos;https://sidra.ibge.gov.br/tabela/1735;Cadastro Central de Empresas;Unidades locais;anual;1996;2006
2933;Empresas e outras organizações, por ano de fundação, seção da classificação de atividades e faixas de pessoal ocupado total;https://sidra.ibge.gov.br/tabela/2933;Cadastro Central de Empresas;Empresas e outras organizações;anual;2004;2006
3421;Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção e divisão da classificação de atividades (CNAE 2.0), para os municípios com 50.000 habitantes ou mais;https://sidra.ibge.gov.br/tabela/3421;Cadastro Central de Empresas;Unidades locais;anual;2010;2021
6449;Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);https://sidra.ibge.gov.br/tabela/6449;Cadastro Central de Empresas;Empresas e outras organizações;anual;2006;2021
6450;Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0);https://sidra.ibge.gov.br/tabela/6450;Cadastro Central de Empresas;Unidades locais;anual;2006;2021
993;Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e ano de fundação;https://sidra.ibge.gov.br/tabela/993;Cadastro Central de Empresas;Empresas e outras organizações;anual;2006;2021
1005;Número de estabelecimentos agropecuários com eletrodomésticos, por tipo de eletroméstico utilizado, condição do produtor em relação às terras, direção do estabelecimento, nível de instrução da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total;https://sidra.ibge.gov.br/tabela/1005;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1006;Número de estabelecimentos agropecuários com produção animal integrada à indústria, por tipo de produção animal integrada à indústria, condição do produtor em relação às terras, tipos de insumos pagos pelo integrador, nível de instrução da pessoa que dirige o estabelecimento e grupos de área total;https://sidra.ibge.gov.br/tabela/1006;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
1008;Número de estabelecimentos agropecuários com uso de agrotóxicos por tipo de equipamento utilizado na aplicação do agrotóxico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orinteção técnica, uso de equipamentos de proteção e indicativo de pessoas intoxicadas;https://sidra.ibge.gov.br/tabela/1008;Censo Agropecuário;Características dos estabelecimentos agropecuários ;anual;2006;2006
